customer_id,income,age,gender,city,credit_score,loan_amount,interest_rate,employment_type,years_employed,existing_loans,late_payments,account_balance,education,marital_status,default
C001,25000,23,Male,Delhi,650,100000,12.5,Salaried,1,2,3,5000,Graduate,Single,1
C002,50000,35,Female,Mumbai,800,200000,10.0,Business,10,0,0,20000,Postgraduate,Married,0
C003,,29,Male,Delhi,720,150000,11.0,Salaried,5,1,1,8000,Graduate,Single,0
C004,18000,21,Female,Chennai,540,50000,15.0,,0,4,5,1000,HighSchool,Single,1
C005,75000,45,Male,Bangalore,820,300000,9.5,Business,20,0,0,50000,Postgraduate,Married,0
C006,32000,,Female,Delhi,680,120000,13.0,Salaried,3,2,2,,Graduate,Single,1
C007,40000,33,Male,Mumbai,,180000,12.0,Salaried,7,1,0,12000,Graduate,Married,0
C008,22000,24,Female,Chennai,560,60000,14.5,Salaried,1,3,4,3000,HighSchool,Single,1
C009,90000,55,Male,Bangalore,850,400000,8.5,Business,30,0,0,80000,Postgraduate,Married,0
C010,27000,26,Male,Delhi,600,90000,13.5,Salaried,2,2,3,4000,Graduate,Single,1
C011,60000,40,Female,Mumbai,780,250000,10.5,Business,15,0,1,30000,Postgraduate,Married,0
C012,15000,20,Male,Chennai,500,40000,16.0,Salaried,0,5,6,500,HighSchool,Single,1
C013,80000,48,Female,Bangalore,830,350000,9.0,Business,25,0,0,,Postgraduate,Married,0
C014,30000,28,Male,Delhi,690,110000,12.0,Salaried,4,1,2,7000,Graduate,Single,0
C015,45000,38,Female,Mumbai,760,160000,11.5,Salaried,12,1,1,15000,Graduate,Married,0
C016,20000,22,Male,Chennai,530,55000,15.5,Salaried,1,3,5,2000,HighSchool,Single,1
C017,65000,44,Female,Bangalore,810,280000,9.8,Business,18,0,0,40000,Postgraduate,Married,0
C018,28000,27,Male,Delhi,610,95000,13.0,Salaried,3,2,3,6000,Graduate,Single,1
C019,52000,39,Female,Mumbai,770,190000,10.8,Salaried,14,1,1,25000,Graduate,Married,0
C020,17000,21,Male,Chennai,520,45000,16.5,Salaried,0,4,6,800,HighSchool,Single,1